version,path,asset_role,classification,rationale,next_action
V2.34,data\curated\critical_minerals_production_inputs.csv,data_source_candidate,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,data\curated\v210_cross_mineral_traceability_summary.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,data\curated\v211_internal_traceability_index.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,data\curated\v212_stage_architecture_decision_register.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,data\curated\v213_natural_graphite_product_definition_traceability_register.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,data\curated\v214_midstream_consolidation_register.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,data\curated\v215_project_state_file_registry_alignment.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,data\curated\v216_registry_changelog_alignment_check.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,data\curated\v217_public_surface_preflight_gate.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,data\curated\v218_public_surface_review_scan.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,data\curated\v219_public_surface_inspection_decision.csv,data_source_candidate,primary_redesign_data_candidate,Likely source data for upstream chart redesign.,validate_columns_for_chart
V2.34,data\processed\critical_minerals_concentration_metrics.csv,data_source_candidate,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,data\processed\critical_minerals_country_shares.csv,data_source_candidate,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,data\processed\critical_minerals_latest_ranking.csv,data_source_candidate,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,data\processed\critical_minerals_processing_refining_snapshot.csv,data_source_candidate,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,data\processed\v23_downstream_concentration_evidence_tracker.csv,data_source_candidate,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,data\processed\v24_downstream_concentration_comparison.csv,data_source_candidate,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,docs\v2_1_mine_production_concentration_case_study.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,docs\v2_2_processing_refining_concentration_case_study.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,outputs\briefs\processing_refining_concentration_snapshot_brief.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,outputs\briefs\v210_cross_mineral_traceability_summary_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,outputs\briefs\v211_internal_traceability_index_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,outputs\briefs\v212_stage_architecture_decision_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,outputs\briefs\v213_natural_graphite_product_definition_traceability_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,outputs\briefs\v214_midstream_consolidation_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,outputs\briefs\v215_project_state_file_registry_alignment_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,outputs\briefs\v216_registry_changelog_alignment_check_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,outputs\briefs\v217_public_surface_preflight_gate_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,outputs\briefs\v218_public_surface_review_scan_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,outputs\briefs\v219_public_surface_inspection_decision_note.md,context_note,caption_context,Useful for labels, captions, or boundary text.,use_for_caption_boundary_text
V2.34,outputs\briefs\v24_downstream_concentration_study.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,outputs\charts\critical_minerals_2024_hhi_ranking.png,existing_visual,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,outputs\charts\critical_minerals_2024_top1_top3_comparison.png,existing_visual,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,outputs\charts\critical_minerals_share_coverage_diagnostic.png,existing_visual,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,outputs\charts\critical_minerals_top3_share_trend.png,existing_visual,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,outputs\figures\v228_midstream_mining_vs_processing_refining_draft.svg,existing_visual,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,outputs\figures\v230_midstream_mining_vs_processing_refining_refined.svg,existing_visual,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,outputs\linkedin\v2_1_mine_production_baseline\V2_1_POST_RECORD.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\critical_minerals_evidence_quality_claim_boundary_concept_note.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\critical_minerals_preproduction_decision_record.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\documentation_builder_private_sanitized_outline_draft.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
V2.34,private_learning\preproduction_critical_minerals_source_boundary\documentation_builder_routing_feasibility_decision.md,context_note,ignore_for_first_upstream_pass,Not needed for first upstream visual pass.,defer
